# time GPU CPU0 CPU1 CPU2 CPU3 CPU4 CPU5 CPU6 CPU7 RAM RAM_TOTAL CPU_TEMP GPU_TEMP
0 0 0 0 0 0 0 0 0 0 1017 15389 56.97 54.41
1 0 9 0 0 0 0 0 0 0 1017 15389 56.78 54.50
2 0 0 0 0 0 0 0 0 0 1017 15389 56.72 54.53
3 0 0 0 0 0 0 0 0 0 1017 15389 56.88 54.59
4 0 0 0 0 0 0 0 0 0 1017 15389 56.88 54.38
5 0 0 0 0 0 0 0 0 0 1017 15389 56.91 54.44
6 0 9 0 0 0 0 0 0 0 1017 15389 57.06 54.59
7 0 0 0 0 9 0 0 0 0 1017 15389 56.66 54.34
8 0 0 0 0 0 0 0 0 0 1017 15389 56.66 54.47
9 0 0 0 0 0 0 0 0 0 1017 15389 56.88 54.66
10 0 10 0 9 0 0 0 0 0 1017 15389 56.97 54.44
11 0 9 9 0 0 0 0 0 0 1017 15389 56.75 54.53
12 0 0 0 0 0 0 0 0 0 1017 15389 56.66 54.66
13 0 0 0 8 0 0 0 0 0 1017 15389 56.75 54.44
14 0 0 0 0 0 0 0 0 0 1017 15389 56.75 54.56
15 0 0 0 0 0 0 0 0 0 1017 15389 56.88 54.69
16 0 0 0 0 0 0 0 0 0 1017 15389 56.78 54.44
17 0 9 0 0 0 0 0 0 0 1017 15389 56.84 54.53
18 0 0 0 0 0 0 0 0 0 1017 15389 56.81 54.66
19 0 0 0 0 0 0 0 0 0 1017 15389 56.78 54.44
20 0 0 0 0 0 0 0 0 0 1017 15389 56.91 54.53
21 0 9 0 0 0 0 0 0 0 1017 15389 56.78 54.69
22 0 0 0 0 0 0 0 0 0 1017 15389 56.94 54.41
23 0 0 0 0 0 0 0 0 0 1017 15389 56.66 54.53
24 0 0 0 9 0 0 0 0 0 1017 15389 56.69 54.72
25 0 0 9 0 0 0 0 0 0 1017 15389 56.78 54.50
26 0 0 0 0 8 0 0 0 0 1017 15389 56.75 54.38
27 0 0 0 0 0 0 0 0 0 1017 15389 56.72 54.44
28 0 18 0 0 0 0 0 9 0 1018 15389 56.69 54.62
29 0 0 0 0 0 0 0 0 0 1018 15389 56.72 54.44
30 0 9 0 9 0 0 0 0 0 1018 15389 56.78 54.44
31 0 0 0 0 0 9 0 0 0 1018 15389 56.78 54.56
32 0 0 0 0 0 0 0 0 0 1018 15389 56.81 54.34
33 0 10 0 0 9 0 0 0 0 1018 15389 56.84 54.44
34 0 0 0 0 0 0 0 0 0 1018 15389 57.09 54.59
35 0 9 0 0 0 0 0 0 0 1018 15389 57.09 54.38
36 0 0 0 0 0 0 0 0 0 1018 15389 56.81 54.53
37 0 0 0 9 0 0 0 0 0 1018 15389 56.88 54.56
38 0 0 0 0 0 0 0 0 0 1018 15389 56.88 54.34
39 0 0 0 0 0 0 0 0 0 1018 15389 57.16 54.53
40 0 0 0 0 0 0 0 0 0 1018 15389 56.69 54.66
41 0 0 0 0 0 0 0 0 0 1018 15389 56.75 54.50
42 0 9 9 16 0 0 0 0 0 1018 15389 56.69 54.47
43 0 9 9 0 0 0 0 0 0 1018 15389 56.88 54.66
44 0 0 0 0 0 0 0 0 0 1018 15389 56.75 54.47
45 0 0 0 0 0 0 0 0 0 1018 15389 56.78 54.50
46 0 0 0 0 0 0 0 0 0 1018 15389 56.75 54.72
47 0 0 0 0 0 0 0 0 0 1018 15389 56.84 54.38
48 0 0 0 0 0 0 0 0 0 1018 15389 56.81 54.41
49 0 0 0 0 0 0 0 0 0 1018 15389 56.94 54.47
50 0 0 0 0 0 0 0 0 0 1018 15389 56.94 54.62
51 0 0 0 0 0 0 0 0 0 1018 15389 56.97 54.38
52 0 16 0 0 0 0 0 0 0 1018 15389 56.66 54.44
53 0 0 0 0 0 0 0 0 0 1018 15389 56.81 54.56
54 0 0 0 0 0 0 0 0 0 1018 15389 56.94 54.38
55 0 0 0 9 10 9 9 0 0 1018 15389 57.00 54.47
56 0 0 0 0 0 0 0 0 0 1018 15389 56.75 54.56
57 0 9 0 0 0 0 0 0 0 1018 15389 56.72 54.34
58 0 16 0 0 0 9 0 9 0 1018 15389 56.81 54.50
59 0 0 0 0 0 0 0 0 0 1018 15389 56.69 54.66
60 0 0 0 0 0 0 0 0 0 1018 15389 56.78 54.38
61 0 0 0 0 0 0 0 0 0 1018 15389 56.59 54.47
62 0 0 0 0 0 0 0 0 0 1018 15389 56.72 54.59
63 0 0 0 0 0 0 0 0 0 1018 15389 56.72 54.34
64 0 0 0 0 0 0 0 0 0 1018 15389 56.78 54.53
65 0 0 0 0 0 0 0 0 0 1018 15389 56.81 54.59
66 0 0 0 0 0 0 0 0 0 1018 15389 56.88 54.44
67 0 9 0 0 0 0 9 0 0 1018 15389 56.94 54.56
68 0 9 0 0 9 0 0 0 0 1018 15389 57.09 54.62
69 0 0 0 0 0 0 0 0 0 1018 15389 56.81 54.34
70 0 0 0 0 0 0 0 0 0 1018 15389 56.91 54.56
71 0 0 0 0 0 0 0 0 0 1018 15389 56.91 54.69
72 0 0 0 0 0 0 0 0 0 1018 15389 56.75 54.44
73 0 0 0 0 0 0 0 0 0 1018 15389 56.69 54.47
74 0 0 0 0 0 0 0 0 0 1018 15389 56.66 54.41
75 0 0 9 0 9 0 0 0 0 1018 15389 56.78 54.53
